gene_id,K002000061_49347,K002000061_49348,K002000061_49350,K002000061_49346,K002000061_49349,K002000061_49351
XLOC_024436,8567,10520,10208,9244,11972,10614
XLOC_024431,4268,3954,3909,3709,4498,4107
XLOC_024430,2147,2638,2084,2047,2195,2227
XLOC_024433,11288,13025,12125,11331,13932,11934
XLOC_024432,339,329,293,254,323,328
XLOC_020509,67,144,114,105,137,149
XLOC_020508,42,39,27,30,44,38
XLOC_020505,4061,3887,3674,5548,8207,6172
XLOC_020504,7745,5807,7318,7111,8997,7419
XLOC_020507,848,971,794,843,997,987
XLOC_020506,0,0,0,0,0,0
XLOC_020501,0,0,0,0,0,0
XLOC_020500,0,0,0,0,0,0
XLOC_020503,3342,3406,3446,2858,3785,3180
XLOC_020502,125,95,75,62,64,62
XLOC_019714,4,0,0,0,0,0
XLOC_019715,7,8,19,23,14,18
XLOC_013372,0,0,7,0,0,0
XLOC_019717,554,616,596,533,621,513
XLOC_019710,44,49,41,45,94,49
XLOC_019711,103,86,71,101,134,108
XLOC_013376,453,499,435,397,547,488
XLOC_013377,8,9,5,8,0,11
XLOC_003238,70,204,154,119,184,159
XLOC_003239,182,486,495,291,581,402
XLOC_003234,0,4,2,6,3,3
XLOC_003235,0,0,0,0,0,0
XLOC_003236,2,12,4,0,8,4
XLOC_003237,1448,1684,1558,1559,2019,1587
XLOC_003230,0,0,0,0,0,7
XLOC_003231,2431,2750,2497,2382,2660,2729
XLOC_003232,4099,4549,4365,4492,5653,4995
XLOC_003233,15,60,65,76,80,76
XLOC_010634,15,17,20,10,12,11
XLOC_015542,8879,8268,8631,10031,11787,10007
XLOC_010635,3630,4179,3819,3591,3815,3471
XLOC_008891,8825,9929,9674,9060,11364,10165
XLOC_007124,0,0,0,0,0,0
XLOC_010639,0,0,1,0,0,0
XLOC_005999,0,0,3,0,8,0
XLOC_005998,0,0,0,0,0,0
XLOC_005993,0,0,0,0,0,0
XLOC_005992,2,0,0,0,0,0
XLOC_005991,0,0,0,0,0,0
XLOC_005990,0,0,0,0,0,0
XLOC_005997,0,0,0,2,0,5
XLOC_005996,0,0,0,0,3,0
XLOC_005995,0,0,0,0,0,0
XLOC_005994,4,3,3,3,7,10
XLOC_017641,0,0,0,0,0,0
XLOC_022419,2,3,0,0,0,0
XLOC_022418,0,6,0,0,5,7
XLOC_012007,0,0,0,0,0,0
XLOC_012006,0,0,0,0,0,0
XLOC_017033,118,166,122,118,171,149
XLOC_012000,238,304,248,258,281,265
XLOC_003902,0,0,0,0,0,0
XLOC_003903,191,237,216,176,230,218
XLOC_003900,0,3,0,0,0,0
XLOC_003901,3,0,0,0,0,0
XLOC_003906,1488,1646,1316,1261,1429,1580
XLOC_003907,0,0,0,0,0,0
XLOC_003904,0,0,0,0,0,0
XLOC_003905,1409,1609,1770,864,1256,1263
XLOC_003908,0,0,0,0,0,3
XLOC_017030,0,0,0,0,0,0
XLOC_016938,4903,4635,4767,4419,5343,5105
XLOC_022415,0,0,0,0,0,0
XLOC_022414,99,154,130,122,230,259
XLOC_017039,0,0,0,0,0,0
XLOC_017038,815,1689,1137,1280,629,1201
XLOC_009427,3,5,4,9,11,5
XLOC_024206,0,0,0,0,0,0
XLOC_009425,59,67,40,52,65,54
XLOC_009424,0,0,0,0,0,0
XLOC_009423,1388,1336,1242,1093,1573,1283
XLOC_009422,4712,8776,5332,6265,6516,5429
XLOC_009421,1486,1456,1385,1402,1841,1599
XLOC_024207,17,11,19,11,13,9
XLOC_024204,0,0,0,0,0,0
XLOC_009429,112,161,110,125,115,109
XLOC_009428,2645,2884,2518,1902,2152,2347
XLOC_001214,11639,14307,12209,13435,15763,15195
XLOC_001215,5151,4477,4795,4016,5027,4502
XLOC_001216,0,0,0,0,0,0
XLOC_024205,0,0,0,0,0,0
XLOC_001210,87,18,22,25,143,42
XLOC_001211,258,164,149,150,356,243
XLOC_001212,481,258,420,405,784,415
XLOC_001213,12,22,10,7,13,7
XLOC_024202,940,1072,902,805,948,1057
XLOC_001218,23,43,18,46,30,27
XLOC_001219,3086,2652,2948,3054,3495,3082
XLOC_010107,769,663,822,647,609,923
XLOC_010104,3,3,3,8,5,3
XLOC_010105,671,1209,928,969,910,1202
XLOC_018198,1171,1372,1197,1039,1303,1208
XLOC_007690,977,1328,969,1014,1115,1014
XLOC_007691,1060,1291,1083,1153,1251,1301
XLOC_002749,10391,12921,11731,10846,13541,11634
XLOC_002748,2,5,0,3,1,0
XLOC_002743,0,0,0,0,0,0
XLOC_002742,13,7,5,3,9,4
XLOC_002741,5,0,2,4,4,7
XLOC_002740,0,0,0,0,0,0
XLOC_002747,14,7,11,9,11,7
XLOC_002746,0,0,1,0,0,0
XLOC_002745,0,0,0,0,0,0
XLOC_002744,0,0,0,0,0,0
XLOC_007698,2129,2045,2100,2011,2689,2095
XLOC_012770,80,74,64,66,61,62
XLOC_009468,9039,10710,9582,9153,10344,10202
XLOC_014285,0,0,0,0,0,0
XLOC_014284,0,0,0,0,0,0
XLOC_014287,31,28,45,27,43,59
XLOC_014286,8,0,0,0,5,0
XLOC_014281,770,544,644,245,335,305
XLOC_014280,330,173,304,152,151,56
XLOC_014283,1,1,1,4,3,0
